location,segment,date,starttime,endtime,duration
DS-M97,2,2016-07-07,07:17,07:51,34
DS-M97,2,2016-07-07,07:17,07:51,33
DS-M79,3,2016-07-07,07:18,07:53,34
DS-M79,3,2016-07-07,07:37,07:57,19
DS-M25,6,2016-07-13,07:44,09:17,93
DS-M30,7,2016-07-13,07:49,09:10,80
DS-M47,6,2016-07-13,07:56,08:28,31
DS-M47,6,2016-07-17,10:11,12:44,873
DS-D49,15,2016-07-17,11:12,11:36,23
TG-I28 & I29,6,2016-07-17,11:54,12:00,5
TG-I28 & I29,6,2016-07-18,12:00,12:01,1
DS-M30,7,2016-07-18,12:07,01:25,77
DS-D48,15,2016-07-18,12:14,12:31,16
DS-M25,6,2016-07-18,12:21,01:09,48
TG-I28 & I29,6,2016-07-21,09:01,09:08,6
DS-N19,4,2016-07-21,09:07,09:56,49
DS-N13R,4,2016-07-21,09:08,12:14,185
DS-N18,4,2016-07-21,09:09,11:27,137
DS-D05,13,2016-07-21,09:12,09:32,20
DS-N10A,4,2016-07-21,09:15,10:27,71
DS-D49,15,2016-07-21,09:28,09:33,4
TG-I28 & I29,6,2016-07-21,09:32,10:16,44
DS-M47,6,2016-07-21,09:38,10:27,49
DS-M30,7,2016-07-21,09:39,10:45,66
DS-N19,4,2016-07-23,05:31,05:47,15
DS-M114N,31,2016-07-23,06:04,06:20,16
DS-N19,4,2016-07-23,06:26,08:23,116
DS-N18,4,2016-07-23,06:34,08:48,133
DS-M114N,31,2016-07-23,06:37,09:16,159
DS-N13R,4,2016-07-23,06:45,02:30,464
DS-N10A,4,2016-07-23,06:48,09:21,152
DS-N07,4,2016-07-23,06:49,07:58,69
TG-I28 & I29,6,2016-07-23,06:54,06:58,4
DS-N02,4,2016-07-23,07:01,07:02,1
DS-M104E,1,2016-07-23,07:03,07:07,4
DS-N10B,4,2016-07-23,07:08,07:14,6
TG-M94,2,2016-07-23,07:08,07:25,16
TG-I28 & I29,6,2016-07-23,07:09,07:36,27
DS-D11,14,2016-07-23,07:11,07:51,40
DS-M47,6,2016-07-23,07:14,09:20,125
DS-M30,7,2016-07-23,07:19,09:04,104
DS-M90 & DS-M91 (NBPS),3,2016-07-23,08:10,11:59,229
DS-M109N,1,2016-07-23,08:20,07:16,655
DS-M104W,1,2016-07-23,08:21,08:57,35
DS-N08,4,2016-07-23,08:22,08:43,20
DS-M66,3,2016-07-23,08:23,08:49,26
DS-M66,3,2016-07-23,08:23,08:48,25
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-07-23,08:24,05:20,1256
DS-M79,3,2016-07-23,08:25,08:34,8
DS-M13,8,2016-07-23,08:30,09:25,54
DS-M61A,3,2016-07-23,08:39,08:40,1
DS-M61A,3,2016-07-23,08:41,08:44,2
DS-N19,4,2016-07-23,10:03,12:34,150
DS-N18,4,2016-07-23,10:04,03:05,301
UDP-DS1 (K2-1),12,2016-07-23,10:09,10:36,26
UDP-DS1 (K2-2),12,2016-07-23,10:09,10:36,26
UDP-DS1 (K1),12,2016-07-23,10:11,10:35,24
DS-D34-AI,23,2016-07-23,10:20,01:40,200
DS-N10A,4,2016-07-23,10:20,02:01,221
DS-M114N,31,2016-07-23,10:24,03:51,327
DS-N16,4,2016-07-23,10:25,11:19,54
DS-N10B,4,2016-07-23,10:25,11:44,79
DS-D31,14,2016-07-23,10:25,10:26,0
DS-N17,4,2016-07-23,10:27,11:29,62
DS-D05,13,2016-07-23,10:28,10:57,29
DS-N02,4,2016-07-23,10:31,01:24,172
DS-N07,4,2016-07-23,10:32,11:23,51
DS-N08,4,2016-07-23,10:32,01:18,166
DS-M09,9,2016-07-23,10:32,10:47,14
DS-M30,7,2016-07-23,10:35,02:29,234
DS-M47,6,2016-07-23,10:36,03:31,294
DS-M08,9,2016-07-23,10:38,04:31,353
DS-M13,8,2016-07-23,10:38,02:39,240
DS-M104W,1,2016-07-23,10:39,02:04,205
TG-M16,8,2016-07-23,10:41,10:53,11
TG-M94,2,2016-07-23,10:42,10:53,11
DS-M79,3,2016-07-23,10:43,03:32,289
DS-M73,3,2016-07-23,10:44,02:57,253
DS-M84,3,2016-07-23,10:44,03:08,263
DS-M84,3,2016-07-23,10:45,10:48,2
TG-I32,6,2016-07-23,10:47,02:04,196
TG-I28 & I29,6,2016-07-23,10:47,02:24,216
DS-M45,6,2016-07-23,10:47,01:28,160
DS-M61A,3,2016-07-23,10:49,02:19,209
DS-M66,3,2016-07-23,10:50,03:37,287
DS-M66,3,2016-07-23,10:51,03:35,284
DS-N12,4,2016-07-23,10:53,10:58,5
DS-N11,4,2016-07-23,10:53,10:58,4
DS-M80,3,2016-07-23,10:54,01:49,175
DS-M84,3,2016-07-23,10:54,05:22,388
DS-M79,3,2016-07-23,10:54,02:09,194
TG-M94,2,2016-07-23,10:55,11:14,19
DS-M38,6,2016-07-23,10:55,02:10,194
