Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M90 & DS-M91 (NBPS),North Branch P.S. (E),All,NBCR Lower (NSC Confluence),Pumping Station North Branch,8/27/2016 7:31:00 AM,8/27/2016 12:33:00 PM,:05:02:00
DS-M90 & DS-M91 (NBPS),North Branch P.S. (E),All,NBCR Lower (NSC Confluence),Pumping Station North Branch,8/20/2016 9:14:00 AM,8/20/2016 3:00:00 PM,:05:46:00
DS-M90 & DS-M91 (NBPS),North Branch P.S. (E),All,NBCR Lower (NSC Confluence),Pumping Station North Branch,8/13/2016 12:32:00 AM,8/13/2016 2:31:00 AM,:01:59:00
DS-M90 & DS-M91 (NBPS),North Branch P.S. (E),All,NBCR Lower (NSC Confluence),Pumping Station North Branch,8/12/2016 8:29:00 PM,8/12/2016 11:26:00 PM,:02:57:00
DS-N02,Foster Ave & Keeler (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/30/2016 7:41:49 AM,8/30/2016 7:43:13 AM,:00:01:24
DS-N02,Foster Ave & Keeler (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/30/2016 7:35:45 AM,8/30/2016 7:41:17 AM,:00:05:32
DS-N02,Foster Ave & Keeler (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/20/2016 9:37:21 AM,8/20/2016 10:03:25 AM,:00:26:04
DS-N02,Foster Ave & Keeler (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/12/2016 7:24:05 PM,8/12/2016 8:12:21 PM,:00:48:16
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,8/30/2016 7:32:17 AM,8/30/2016 8:07:21 AM,:00:35:04
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,8/20/2016 9:39:21 AM,8/20/2016 10:07:57 AM,:00:28:36
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,8/12/2016 7:27:57 PM,8/12/2016 8:43:09 PM,:01:15:12
DS-N07,Central Ave (5900 - 6100 North) (N),TG1,NBCR Upper (NSC Confluence),Stickney,8/20/2016 8:34:29 AM,8/20/2016 9:35:32 AM,:01:01:03
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,9/28/2016 10:41:07 PM,9/28/2016 11:03:11 PM,:00:22:04
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/30/2016 7:16:05 AM,8/30/2016 7:59:53 AM,:00:43:48
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/20/2016 8:42:37 AM,8/20/2016 10:23:05 AM,:01:40:28
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/18/2016 7:04:25 AM,8/18/2016 8:05:53 AM,:01:01:28
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,8/12/2016 7:16:29 PM,8/12/2016 8:41:13 PM,:01:24:44
DS-N10A,Wildwood Ave ext. (Caldwell & Tonty) (E),TG1,NBCR Upper (NSC Confluence),Stickney,8/20/2016 8:35:09 AM,8/20/2016 10:37:17 AM,:02:02:08
DS-N10A,Wildwood Ave ext. (Caldwell & Tonty) (E),TG1,NBCR Upper (NSC Confluence),Stickney,8/18/2016 6:55:21 AM,8/18/2016 8:07:09 AM,:01:11:48
DS-N10A,Wildwood Ave ext. (Caldwell & Tonty) (E),TG1,NBCR Upper (NSC Confluence),Stickney,8/12/2016 6:53:57 PM,8/12/2016 9:11:45 PM,:02:17:48
